station,valid,lon,lat,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
LEBZ,2008-12-19 11:45,-6.8292,38.8833,37.40,37.40,100.00,80.00,5.00,null,30.42,null,0.68,null,OVC,null,null,null,200.00,null,null,null,VCFG,null,null,null,null,null,null,32.81,SPECI LEBZ 191145Z 08005KT 1100 R31/1000 VCFG OVC002 03/03 Q1030
LEBZ,2008-12-19 11:50,-6.8292,38.8833,37.40,37.40,100.00,80.00,4.00,null,30.42,null,0.50,null,OVC,null,null,null,200.00,null,null,null,FG,null,null,null,null,null,null,33.73,SPECI LEBZ 191150Z 08004KT 0800 R31/1000 FG OVC002 03/03 Q1030
LEBZ,2008-12-19 12:25,-6.8292,38.8833,39.20,37.40,93.19,90.00,5.00,null,30.42,null,0.75,null,OVC,null,null,null,200.00,null,null,null,BCFG,null,null,null,null,null,null,34.95,SPECI LEBZ 191225Z 09005KT 1200 R31/2000 BCFG OVC002 04/03 Q1030
LEBZ,2008-12-19 12:40,-6.8292,38.8833,39.20,39.20,100.00,80.00,5.00,null,30.42,null,1.24,null,OVC,null,null,null,200.00,null,null,null,BR,null,null,null,null,null,null,34.95,SPECI LEBZ 191240Z 08005KT 2000 BR OVC002 04/04 Q1030
LEBZ,2008-12-19 13:30,-6.8292,38.8833,44.60,42.80,93.35,80.00,3.00,null,30.39,null,3.11,null,SCT,null,null,null,600.00,null,null,null,BR,null,null,null,null,null,null,43.09,SPECI LEBZ 191330Z 08003KT 5000 BR SCT006 07/06 Q1029
LEBZ,2008-12-20 07:30,-6.8292,38.8833,28.40,28.40,100.00,0.00,0.00,null,60.00,null,0.12,null,NSC,null,null,null,null,null,null,null,FG,null,null,null,null,null,null,28.40,SPECI LEBZ 200730Z 00000KT 0200 R31/0300 FG NSC M02/M02 Q2032
LEBZ,2008-12-20 09:20,-6.8292,38.8833,35.60,33.80,93.08,0.00,0.00,null,30.50,null,1.86,null,NSC,null,null,null,null,null,null,null,BR,null,null,null,null,null,null,35.60,SPECI LEBZ 200920Z 00000KT 3000 BR NSC 02/01 Q1033
LEBZ,2008-12-21 06:47,-6.8292,38.8833,30.20,30.20,100.00,0.00,0.00,null,30.45,null,0.62,null,NSC,null,null,null,null,null,null,null,BCFG,null,null,null,null,null,null,30.20,SPECI LEBZ 210647Z 00000KT 1000 R31/1200 BCFG NSC M01/M01 Q1031
LEBZ,2008-12-23 06:30,-6.8292,38.8833,30.20,30.20,100.00,150.00,1.00,null,30.30,null,1.24,null,NSC,null,null,null,null,null,null,null,BR,null,null,null,null,null,null,30.20,SPECI LEBZ 230630Z 15001KT 2000 BR NSC M01/M01 Q1026
LEBZ,2008-12-23 06:46,-6.8292,38.8833,26.60,26.60,100.00,80.00,2.00,null,30.30,null,0.37,null,NSC,null,null,null,null,null,null,null,BCFG,null,null,null,null,null,null,26.60,SPECI LEBZ 230646Z 08002KT 0600 R31/0500 BCFG NSC M03/M03 Q1026
